GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mes-auth,com.aptar.mes,MesAuthApplication,8,0,0,0,3,0,2,0,2,0
mes-auth,com.aptar.mes.auth.controller,PlantController,55,0,0,0,8,0,4,0,4,0
mes-auth,com.aptar.mes.auth.controller,SeparatorController,18,0,0,0,4,0,3,0,3,0
mes-auth,com.aptar.mes.auth.controller,UserController,48,0,0,0,9,0,5,0,5,0
mes-auth,com.aptar.mes.auth.controller,StationController,49,0,4,0,6,0,6,0,4,0
mes-auth,com.aptar.mes.auth.controller.response,SeparatorsResponse,10,0,0,0,4,0,2,0,2,0
mes-auth,com.aptar.mes.auth.controller.response,UserStationsResponse,46,0,6,0,11,0,6,0,3,0
mes-auth,com.aptar.mes.auth.controller.response,ConfigurationsResponse,9,0,0,0,4,0,2,0,2,0
mes-auth,com.aptar.mes.auth.controller.response,PrivilegesResponse,28,0,2,0,7,0,3,0,2,0
mes-auth,com.aptar.mes.auth.controller.response,UserPlantsResponse,46,0,6,0,11,0,6,0,3,0
mes-auth,com.aptar.mes.auth.service.dto,JwtUser,46,34,0,0,18,11,14,2,14,2
mes-auth,com.aptar.mes.auth.service.dto,JwtUserDates,117,15,22,0,3,3,17,3,6,3
mes-auth,com.aptar.mes.auth.service.dto,UserStationsDTO,109,18,22,0,2,3,15,4,4,4
mes-auth,com.aptar.mes.auth.service.dto,ChangeStationDTO,109,17,22,0,2,4,15,5,4,5
mes-auth,com.aptar.mes.auth.service.dto,JwtUserCredential,117,15,22,0,3,3,17,3,6,3
mes-auth,com.aptar.mes.auth.service.dto,PlantDTO,75,57,15,7,2,4,15,5,4,5
mes-auth,com.aptar.mes.auth.service.dto,SeparatorsDTO,84,0,14,0,4,0,13,0,6,0
mes-auth,com.aptar.mes.auth.service.dto,UserPlantsDTO,109,18,22,0,2,3,15,4,4,4
mes-auth,com.aptar.mes.auth.service.dto,ChangePasswordDTO,22,24,0,0,1,5,1,7,1,7
mes-auth,com.aptar.mes.auth.service.dto,StationDTO,67,59,15,7,1,5,13,7,2,7
mes-auth,com.aptar.mes.auth.service,UserDetailsServiceImpl.UserDetailsServiceErrors.LoginErrors,0,31,0,0,0,6,0,3,0,3
mes-auth,com.aptar.mes.auth.service,UserDetailsServiceImpl.new Object() {...},3,23,0,0,0,1,0,1,0,1
mes-auth,com.aptar.mes.auth.service,UserDetailsServiceImpl.UserDetailsServiceErrors.ChangePasswordErrors,0,55,0,0,0,7,0,3,0,3
mes-auth,com.aptar.mes.auth.service,UserDetailsServiceImpl.DateExpirationStatus,0,39,0,0,0,2,0,2,0,2
mes-auth,com.aptar.mes.auth.service,PlantService,29,83,7,7,6,16,7,4,1,3
mes-auth,com.aptar.mes.auth.service,StationService,23,108,9,13,3,25,8,8,1,4
mes-auth,com.aptar.mes.auth.service,UserDetailsServiceImpl,52,436,25,37,12,106,22,19,0,8
mes-auth,com.aptar.mes.auth.service,SeparatorService,39,0,2,0,9,0,4,0,3,0
mes-auth,com.aptar.mes.auth.service,StationService.StationServiceErrors.StationErrors,0,31,0,0,0,6,0,3,0,3
mes-auth,com.aptar.mes.auth.service,UserAuthorities,0,40,0,0,0,7,0,3,0,3
mes-auth,com.aptar.mes.auth.config,SecurityConfigProperties,17,0,0,0,4,0,5,0,5,0
mes-auth,com.aptar.mes.auth.config,OAuth2AuthorizationServerConfig,167,0,0,0,35,0,9,0,9,0
mes-auth,com.aptar.mes.auth.config,ServerSecurityConfig,36,0,0,0,14,0,5,0,5,0
mes-auth,com.aptar.mes.auth.config,SwaggerConfig,30,0,0,0,12,0,3,0,3,0
mes-auth,com.aptar.mes.auth.config,ResourceServiceConfig,77,0,0,0,19,0,5,0,5,0
mes-auth,com.aptar.mes.auth.config,SecurityConfigProperties.Jwt,53,6,0,0,8,2,15,2,15,2
